uf,estado,capital,orcamento_estado_bruto,convenios_estado_bruto,orcamento_capital_bruto,capital_convenios_bruto,orcamento_estado_parquet,convenios_estado_parquet,capital_parquet,orcamento_estado_rows,convenios_estado_rows,capital_rows,orcamento_estado_osc_signal,convenios_estado_osc_signal,capital_osc_signal,orcamento_estado_osc_name_cnpj_rows,convenios_estado_osc_name_cnpj_rows,capital_osc_name_cnpj_rows,capital_convenios_dir,capital_orcamento_dir,proxima_acao
AC,Acre,Rio Branco,False,True,False,False,False,True,True,,87,5397.0,,sinal_osc_forte,sinal_osc_forte,,14,364.0,E:\dados\bases_convenios_capitais\AC,E:\dados\bases_orcamento_geral_capitais\AC,fechar_orcamento_geral_estado
AL,Alagoas,Maceio,True,True,False,True,True,True,True,144411.0,1323,11236.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,1918.0,270,444.0,E:\dados\bases_convenios_capitais\Maceio,,seguir_para_proxima_uf
AP,Amapa,Macapa,False,True,False,True,False,True,True,,885,36958.0,,sinal_osc_forte,sinal_osc_forte,,253,2707.0,E:\dados\bases_convenios_capitais\MACAPA,E:\dados\bases_orcamento_geral_capitais\AP,fechar_orcamento_geral_estado
AM,Amazonas,Manaus,False,True,False,True,False,True,True,,3790,241077.0,,sinal_osc_forte,sinal_osc_forte,,951,17261.0,E:\dados\bases_convenios_capitais\MANAUS,E:\dados\bases_orcamento_geral_capitais\AM,fechar_orcamento_geral_estado
BA,Bahia,Salvador,True,True,False,True,True,True,True,13994.0,23939,1454031.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,834.0,4086,97764.0,E:\dados\bases_convenios_capitais\Salvador,,seguir_para_proxima_uf
CE,Ceara,Fortaleza,True,True,False,True,True,True,True,4802.0,5823,82.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_por_nome,873.0,4895,0.0,E:\dados\bases_convenios_capitais\FORTALEZA,,seguir_para_proxima_uf
DF,Distrito Federal,Brasilia,True,True,False,True,True,True,True,2901.0,5026,1011.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,1101.0,1866,316.0,E:\dados\bases_convenios_capitais\brasilia,,seguir_para_proxima_uf
ES,Espirito Santo,Vitoria,True,True,False,True,True,True,True,247128.0,25720,1204.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,144750.0,9193,112.0,E:\dados\bases_convenios_capitais\Vitoria,,seguir_para_proxima_uf
GO,Goias,Goiania,True,True,False,True,True,True,True,16371.0,1676,1048.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,7634.0,72,518.0,E:\dados\bases_convenios_capitais\GOIANIA,,seguir_para_proxima_uf
MA,Maranhao,Sao Luis,True,True,False,True,True,True,True,117.0,98,891.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,68.0,1,262.0,E:\dados\bases_convenios_capitais\sao luis,,seguir_para_proxima_uf
MT,Mato Grosso,Cuiaba,True,True,False,True,True,True,True,14195271.0,19069,118.0,sinal_osc_forte,sinal_osc_forte,sem_sinal_osc,1822667.0,5463,0.0,E:\dados\bases_convenios_capitais\CUIABA,,revisar_heuristica_osc_capital
MS,Mato Grosso do Sul,Campo Grande,True,True,False,True,True,True,True,4324.0,33493,20.0,sinal_osc_forte,sinal_osc_forte,sem_sinal_osc,2038.0,4707,0.0,E:\dados\bases_convenios_capitais\Campo Grande,,revisar_heuristica_osc_capital
MG,Minas Gerais,Belo Horizonte,True,True,False,True,True,True,True,11170046.0,81990,137.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_por_nome,286735.0,14699,0.0,E:\dados\bases_convenios_capitais\BELO HORIZONTE,,seguir_para_proxima_uf
PA,Para,Belem,True,True,False,True,True,True,True,799354.0,29407,2.0,sinal_osc_forte,sinal_osc_forte,sem_sinal_osc,59236.0,225,0.0,E:\dados\bases_convenios_capitais\BELEM,,revisar_heuristica_osc_capital
PB,Paraiba,Joao Pessoa,True,True,False,True,True,True,True,1794815.0,129357,392.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,32623.0,2719,99.0,E:\dados\bases_convenios_capitais\Joao Pessoa,,seguir_para_proxima_uf
PR,Parana,Curitiba,True,True,False,True,True,True,True,60572.0,66042,360.0,sinal_osc_forte,sinal_osc_forte,sem_sinal_osc,48649.0,2061,0.0,E:\dados\bases_convenios_capitais\Curitiba,,revisar_heuristica_osc_capital
PE,Pernambuco,Recife,True,True,False,False,False,True,False,,65,,,sinal_osc_forte,,,20,,,,fechar_orcamento_geral_estado
PI,Piaui,Teresina,True,True,False,False,True,True,False,17.0,2633,,sinal_osc_forte,sinal_osc_forte,,9.0,86,,E:\dados\bases_convenios_capitais\Teresina,,buscar_convenios_capital
RJ,Rio de Janeiro,Rio de Janeiro,True,True,False,True,True,True,True,96.0,4190,7940.0,sinal_osc_forte,sinal_osc_forte,sinal_osc_forte,58.0,4,2802.0,E:\dados\bases_convenios_capitais\RIO DE JANEIRO,,seguir_para_proxima_uf
RN,Rio Grande do Norte,Natal,False,True,False,False,False,True,False,,341,,,sinal_osc_forte,,,54,,E:\dados\bases_convenios_capitais\RN,E:\dados\bases_orcamento_geral_capitais\RN,fechar_orcamento_geral_estado
RS,Rio Grande do Sul,Porto Alegre,True,True,False,True,True,True,True,614285.0,50504,388.0,sinal_osc_forte,sinal_osc_forte,sem_sinal_osc,159436.0,905,0.0,E:\dados\bases_convenios_capitais\porto alegre,,revisar_heuristica_osc_capital
RO,Rondonia,Porto Velho,True,True,False,False,False,True,False,,3862,,,sinal_osc_forte,,,7,,,,fechar_orcamento_geral_estado
RR,Roraima,Boa Vista,False,True,False,False,False,True,False,,447,,,sinal_osc_forte,,,45,,E:\dados\bases_convenios_capitais\RR,E:\dados\bases_orcamento_geral_capitais\RR,fechar_orcamento_geral_estado
SC,Santa Catarina,Florianopolis,False,True,False,False,False,True,False,,2380,,,sinal_osc_forte,,,1903,,E:\dados\bases_convenios_capitais\SC,E:\dados\bases_orcamento_geral_capitais\SC,fechar_orcamento_geral_estado
SP,Sao Paulo,Sao Paulo,False,True,False,False,False,True,False,,37813,,,sinal_osc_forte,,,19089,,E:\dados\bases_convenios_capitais\SP,E:\dados\bases_orcamento_geral_capitais\SP,fechar_orcamento_geral_estado
SE,Sergipe,Aracaju,True,True,False,False,False,True,False,,175232,,,sinal_osc_forte,,,16716,,,,fechar_orcamento_geral_estado
TO,Tocantins,Palmas,False,True,False,False,False,True,False,,2570,,,sinal_osc_forte,,,677,,E:\dados\bases_convenios_capitais\TO,E:\dados\bases_orcamento_geral_capitais\TO,fechar_orcamento_geral_estado
